Rondônia, 0.407, 19, 0.537, 17, 0.690, 15
Acre, 0.402, 21, 0.517, 21, 0.663, 21
Amazonas, 0.430, 15, 0.515, 22, 0.674, 18
Roraima, 0.459, 12, 0.598, 12, 0.707, 13
Pará, 0.413, 17, 0.518, 19, 0.646, 24
Amapá, 0.472, 11, 0.577, 13, 0.708, 12
Tocantins, 0.369, 25, 0.525, 18, 0.699, 14
Maranhão, 0.357, 27, 0.476, 26, 0.639, 26
Piauí, 0.362, 26, 0.484, 25, 0.646, 24
Ceará, 0.405, 20, 0.541, 16, 0.682, 17
Rio Grande do Norte, 0.428, 16, 0.552, 14, 0.684, 16
Paraíba, 0.382, 23, 0.506, 24, 0.658, 23
Pernambuco, 0.440, 14, 0.544, 15, 0.673, 19
Alagoas, 0.370, 24, 0.471, 27, 0.631, 27
Sergipe, 0.408, 18, 0.518, 19, 0.665, 20
Bahia, 0.386, 22, 0.512, 23, 0.660, 22
Minas Gerais, 0.478, 10, 0.624, 8, 0.731, 9
Espírito Santo, 0.505, 7, 0.640, 7, 0.740, 7
Rio de Janeiro, 0.573, 3, 0.664, 4, 0.761, 4
São Paulo, 0.578, 2, 0.702, 2, 0.783, 2
Paraná, 0.507, 6, 0.650, 6, 0.749, 5
Santa Catarina, 0.543, 4, 0.674, 3, 0.774, 3
Rio Grande do Sul, 0.542, 5, 0.664, 4, 0.746, 6
Mato Grosso do Sul, 0.488, 8, 0.613, 10, 0.729, 10
Mato Grosso, 0.449, 13, 0.601, 11, 0.725, 11
Goiás, 0.487, 9, 0.615, 9, 0.735, 8
Distrito Federal, 0.616, 1, -, -, -, -
